order_id,customer_id,order_date,order_time,day_of_week,week_number,month,season,dish_name,dish_category,quantity_ordered,price_per_item,total_price,payment_method,dine_in_or_takeaway,preparation_time_minutes,table_number,promotion_applied,weather_condition,special_event_or_holiday,customer_rating,ingredient_name,ingredient_quantity_used_kg,current_stock_available_kg,stock_reorder_level_kg,stock_status,estimated_food_waste_kg,order_status,restaurant_branch,peak_hour_flag,delivery_time_minutes,repeat_customer_flag,orders_this_week,total_qty_this_week,rush_day_for_dish,branch_rush_day
ORD-10252,CUST-1125,2024-01-01,19:19,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,1,13.49,13.49,Cash,Dine-In,13,24,No,Cold,New Year's Day,5.0,Black Pepper,0.0049,86.99,34.4,Adequate,0.036,Completed,Downtown,1,,No,3,4,Friday,Saturday
ORD-10252,CUST-1125,2024-01-01,19:19,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,1,13.49,13.49,Online,Dine-In,18,24,No,Cold,New Year's Day,5.0,Garlic,0.0097,43.52,22.25,Adequate,0.0051,Completed,Downtown,1,,No,3,4,Friday,Saturday
ORD-10502,CUST-1418,2024-01-02,18:27,Tuesday,1,1,Winter,Tomato Soup,Soups,5,6.49,32.45,Credit Card,Dine-In,10,7,No,Cold,None,5.0,Tomatoes,1.715,102.67,33.58,Adequate,0.0946,Completed,Suburbs,1,,Yes,2,8,Saturday,Sunday
ORD-10502,CUST-1418,2024-01-02,18:27,Tuesday,1,1,Winter,Tomato Soup,Soups,5,6.49,32.45,Online,Dine-In,12,7,No,Cold,None,5.0,Vegetable Stock,0.7471,70.4,24.83,Adequate,0.1171,Completed,Suburbs,1,,Yes,2,8,Saturday,Sunday
ORD-10502,CUST-1418,2024-01-02,18:27,Tuesday,1,1,Winter,Tomato Soup,Soups,5,6.49,32.45,Online,Dine-In,11,7,No,Cold,None,5.0,Cream,0.3123,32.88,24.01,Adequate,0.0351,Completed,Suburbs,1,,Yes,2,8,Saturday,Sunday
ORD-10502,CUST-1418,2024-01-02,18:27,Tuesday,1,1,Winter,Tomato Soup,Soups,5,6.49,32.45,Digital Wallet,Dine-In,12,7,No,Cold,None,5.0,Garlic,0.0508,117.25,20.8,Adequate,0.0337,Completed,Suburbs,1,,Yes,2,8,Saturday,Sunday
ORD-10502,CUST-1418,2024-01-02,18:27,Tuesday,1,1,Winter,Tomato Soup,Soups,5,6.49,32.45,Debit Card,Dine-In,12,7,No,Cold,None,5.0,Basil,0.051,118.74,19.0,Adequate,0.1374,Completed,Suburbs,1,,Yes,2,8,Saturday,Sunday
ORD-10502,CUST-1418,2024-01-02,18:27,Tuesday,1,1,Winter,Tomato Soup,Soups,5,6.49,32.45,Online,Dine-In,12,7,No,Cold,None,5.0,Butter,0.099,66.75,34.59,Adequate,0.1952,Completed,Suburbs,1,,Yes,2,8,Saturday,Sunday
ORD-10449,CUST-1296,2024-01-02,18:36,Tuesday,1,1,Winter,Cheesecake,Desserts,1,5.09,5.09,Digital Wallet,Takeaway,5,,Yes,Snowy,None,4.0,Cream Cheese,0.1238,33.89,24.89,Adequate,0.0341,Pending,Mall Branch,1,21.0,No,1,1,Saturday,Sunday
ORD-10449,CUST-1296,2024-01-02,18:36,Tuesday,1,1,Winter,Cheesecake,Desserts,1,5.09,5.09,Digital Wallet,Takeaway,5,,Yes,Snowy,None,4.0,Sugar,0.0407,114.51,26.54,Adequate,0.0301,Pending,Mall Branch,1,21.0,No,1,1,Saturday,Sunday
ORD-10449,CUST-1296,2024-01-02,18:36,Tuesday,1,1,Winter,Cheesecake,Desserts,1,5.09,5.09,Debit Card,Takeaway,4,,Yes,Snowy,None,4.0,Butter,0.0286,20.89,30.9,Low Stock,0.024,Pending,Mall Branch,1,21.0,No,1,1,Saturday,Sunday
ORD-10449,CUST-1296,2024-01-02,18:36,Tuesday,1,1,Winter,Cheesecake,Desserts,1,5.09,5.09,Online,Takeaway,4,,Yes,Snowy,None,4.0,Graham Crackers,0.0517,28.22,32.09,Low Stock,0.0218,Pending,Mall Branch,1,21.0,No,1,1,Saturday,Sunday
ORD-10449,CUST-1296,2024-01-02,18:36,Tuesday,1,1,Winter,Cheesecake,Desserts,1,5.09,5.09,Online,Takeaway,5,,Yes,Snowy,None,4.0,Vanilla Extract,0.0049,44.49,16.01,Adequate,0.023,Pending,Mall Branch,1,21.0,No,1,1,Saturday,Sunday
ORD-10449,CUST-1296,2024-01-02,18:36,Tuesday,1,1,Winter,Cheesecake,Desserts,1,5.09,5.09,Cash,Takeaway,5,,Yes,Snowy,None,4.0,Eggs,0.0611,44.9,17.37,Adequate,0.0342,Pending,Mall Branch,1,21.0,No,1,1,Saturday,Sunday
ORD-10861,CUST-1286,2024-01-02,18:36,Tuesday,1,1,Winter,Classic Burger,Burgers,5,8.99,44.95,Digital Wallet,Dine-In,11,14,No,Rainy,None,3.0,Beef Patty,0.9251,96.3,33.58,Adequate,0.0533,Completed,Suburbs,1,,Yes,4,11,Monday,Sunday
ORD-10861,CUST-1286,2024-01-02,18:36,Tuesday,1,1,Winter,Classic Burger,Burgers,5,8.99,44.95,Cash,Dine-In,11,14,No,Rainy,None,3.0,Burger Bun,0.4014,62.56,28.33,Adequate,0.1081,Completed,Suburbs,1,,Yes,4,11,Monday,Sunday
ORD-10861,CUST-1286,2024-01-02,18:36,Tuesday,1,1,Winter,Classic Burger,Burgers,5,8.99,44.95,Digital Wallet,Dine-In,14,14,No,Rainy,None,3.0,Lettuce,0.1481,113.4,26.28,Adequate,0.0676,Completed,Suburbs,1,,Yes,4,11,Monday,Sunday
ORD-10861,CUST-1286,2024-01-02,18:36,Tuesday,1,1,Winter,Classic Burger,Burgers,5,8.99,44.95,Cash,Dine-In,10,14,No,Rainy,None,3.0,Tomato,0.2604,99.08,20.81,Adequate,0.1901,Completed,Suburbs,1,,Yes,4,11,Monday,Sunday
ORD-10861,CUST-1286,2024-01-02,18:36,Tuesday,1,1,Winter,Classic Burger,Burgers,5,8.99,44.95,Credit Card,Dine-In,10,14,No,Rainy,None,3.0,Cheddar Cheese,0.2051,86.91,23.84,Adequate,0.196,Completed,Suburbs,1,,Yes,4,11,Monday,Sunday
ORD-10861,CUST-1286,2024-01-02,18:36,Tuesday,1,1,Winter,Classic Burger,Burgers,5,8.99,44.95,Online,Dine-In,13,14,No,Rainy,None,3.0,Ketchup,0.0979,37.88,28.77,Adequate,0.1326,Completed,Suburbs,1,,Yes,4,11,Monday,Sunday
ORD-10687,CUST-1382,2024-01-03,11:38,Wednesday,1,1,Winter,Classic Burger,Burgers,2,8.99,17.98,Online,Takeaway,12,,No,Cold,None,5.0,Beef Patty,0.3531,112.4,23.95,Adequate,0.054,Completed,Suburbs,1,21.0,No,4,11,Monday,Sunday
ORD-10687,CUST-1382,2024-01-03,11:38,Wednesday,1,1,Winter,Classic Burger,Burgers,2,8.99,17.98,Debit Card,Takeaway,13,,No,Cold,None,5.0,Burger Bun,0.1552,66.9,22.15,Adequate,0.0758,Completed,Suburbs,1,21.0,No,4,11,Monday,Sunday
ORD-10687,CUST-1382,2024-01-03,11:38,Wednesday,1,1,Winter,Classic Burger,Burgers,2,8.99,17.98,Online,Takeaway,13,,No,Cold,None,5.0,Lettuce,0.0575,119.17,30.9,Adequate,0.0116,Completed,Suburbs,1,21.0,No,4,11,Monday,Sunday
ORD-10687,CUST-1382,2024-01-03,11:38,Wednesday,1,1,Winter,Classic Burger,Burgers,2,8.99,17.98,Debit Card,Takeaway,13,,No,Cold,None,5.0,Tomato,0.097,29.67,23.3,Adequate,0.0765,Completed,Suburbs,1,21.0,No,4,11,Monday,Sunday
ORD-10687,CUST-1382,2024-01-03,11:38,Wednesday,1,1,Winter,Classic Burger,Burgers,2,8.99,17.98,Credit Card,Takeaway,13,,No,Cold,None,5.0,Cheddar Cheese,0.0769,48.56,30.02,Adequate,0.029,Completed,Suburbs,1,21.0,No,4,11,Monday,Sunday
ORD-10687,CUST-1382,2024-01-03,11:38,Wednesday,1,1,Winter,Classic Burger,Burgers,2,8.99,17.98,Digital Wallet,Takeaway,14,,No,Cold,None,5.0,Ketchup,0.0397,77.46,21.0,Adequate,0.0249,Completed,Suburbs,1,21.0,No,4,11,Monday,Sunday
ORD-10138,CUST-1426,2024-01-03,12:11,Wednesday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Digital Wallet,Dine-In,8,6,No,Cloudy,None,2.0,Chicken Breast,0.6201,50.39,26.19,Adequate,0.0178,Completed,Airport,1,,No,2,6,Sunday,Saturday
ORD-10138,CUST-1426,2024-01-03,12:11,Wednesday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Digital Wallet,Dine-In,7,6,No,Cloudy,None,2.0,Pita Bread,0.2566,46.27,34.12,Adequate,0.0837,Completed,Airport,1,,No,2,6,Sunday,Saturday
ORD-10138,CUST-1426,2024-01-03,12:11,Wednesday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Credit Card,Dine-In,7,6,No,Cloudy,None,2.0,Tahini Sauce,0.1247,61.72,24.84,Adequate,0.0275,Completed,Airport,1,,No,2,6,Sunday,Saturday
ORD-10138,CUST-1426,2024-01-03,12:11,Wednesday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Debit Card,Dine-In,11,6,No,Cloudy,None,2.0,Lettuce,0.088,119.43,16.33,Adequate,0.0655,Completed,Airport,1,,No,2,6,Sunday,Saturday
ORD-10138,CUST-1426,2024-01-03,12:11,Wednesday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Cash,Dine-In,9,6,No,Cloudy,None,2.0,Tomato,0.1192,45.79,28.72,Adequate,0.0688,Completed,Airport,1,,No,2,6,Sunday,Saturday
ORD-10138,CUST-1426,2024-01-03,12:11,Wednesday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Cash,Dine-In,8,6,No,Cloudy,None,2.0,Garlic Sauce,0.0907,104.53,18.26,Adequate,0.0486,Completed,Airport,1,,No,2,6,Sunday,Saturday
ORD-10138,CUST-1426,2024-01-03,12:11,Wednesday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Debit Card,Dine-In,9,6,No,Cloudy,None,2.0,Pickles,0.0623,33.55,18.27,Adequate,0.059,Completed,Airport,1,,No,2,6,Sunday,Saturday
ORD-10874,CUST-1380,2024-01-04,11:11,Thursday,1,1,Winter,Iced Coffee,Beverages,1,4.49,4.49,Online,Dine-In,2,13,No,Rainy,None,4.0,Coffee Beans,0.0175,57.91,20.86,Adequate,0.0117,Completed,Mall Branch,1,,Yes,1,1,Sunday,Sunday
ORD-10874,CUST-1380,2024-01-04,11:11,Thursday,1,1,Winter,Iced Coffee,Beverages,1,4.49,4.49,Cash,Dine-In,4,13,No,Rainy,None,4.0,Milk,0.1426,67.54,28.82,Adequate,0.0328,Completed,Mall Branch,1,,Yes,1,1,Sunday,Sunday
ORD-10874,CUST-1380,2024-01-04,11:11,Thursday,1,1,Winter,Iced Coffee,Beverages,1,4.49,4.49,Cash,Dine-In,3,13,No,Rainy,None,4.0,Ice,0.098,66.51,29.77,Adequate,0.0317,Completed,Mall Branch,1,,Yes,1,1,Sunday,Sunday
ORD-10874,CUST-1380,2024-01-04,11:11,Thursday,1,1,Winter,Iced Coffee,Beverages,1,4.49,4.49,Online,Dine-In,2,13,No,Rainy,None,4.0,Sugar Syrup,0.0202,83.68,22.24,Adequate,0.0259,Completed,Mall Branch,1,,Yes,1,1,Sunday,Sunday
ORD-10037,CUST-1287,2024-01-04,11:16,Thursday,1,1,Winter,Tomato Soup,Soups,3,6.49,19.47,Online,Dine-In,12,19,No,Cold,None,2.0,Tomatoes,1.0448,74.99,31.51,Adequate,0.0275,Completed,City Center,1,,No,2,8,Saturday,Saturday
ORD-10037,CUST-1287,2024-01-04,11:16,Thursday,1,1,Winter,Tomato Soup,Soups,3,6.49,19.47,Debit Card,Dine-In,12,19,No,Cold,None,2.0,Vegetable Stock,0.4714,59.39,30.9,Adequate,0.1136,Completed,City Center,1,,No,2,8,Saturday,Saturday
ORD-10037,CUST-1287,2024-01-04,11:16,Thursday,1,1,Winter,Tomato Soup,Soups,3,6.49,19.47,Online,Dine-In,8,19,No,Cold,None,2.0,Cream,0.1846,39.91,25.18,Adequate,0.0198,Completed,City Center,1,,No,2,8,Saturday,Saturday
ORD-10037,CUST-1287,2024-01-04,11:16,Thursday,1,1,Winter,Tomato Soup,Soups,3,6.49,19.47,Digital Wallet,Dine-In,9,19,No,Cold,None,2.0,Garlic,0.0289,53.3,24.47,Adequate,0.0787,Completed,City Center,1,,No,2,8,Saturday,Saturday
ORD-10037,CUST-1287,2024-01-04,11:16,Thursday,1,1,Winter,Tomato Soup,Soups,3,6.49,19.47,Credit Card,Dine-In,11,19,No,Cold,None,2.0,Basil,0.03,52.8,27.26,Adequate,0.119,Completed,City Center,1,,No,2,8,Saturday,Saturday
ORD-10037,CUST-1287,2024-01-04,11:16,Thursday,1,1,Winter,Tomato Soup,Soups,3,6.49,19.47,Online,Dine-In,12,19,No,Cold,None,2.0,Butter,0.0614,49.92,21.73,Adequate,0.0664,Completed,City Center,1,,No,2,8,Saturday,Saturday
ORD-10848,CUST-1351,2024-01-04,17:38,Thursday,1,1,Winter,Double Cheeseburger,Burgers,1,11.49,11.49,Cash,Dine-In,13,29,No,Cloudy,None,1.0,Beef Patty,0.3451,86.04,26.53,Adequate,0.0345,Completed,Suburbs,0,,Yes,1,1,Sunday,Sunday
ORD-10848,CUST-1351,2024-01-04,17:38,Thursday,1,1,Winter,Double Cheeseburger,Burgers,1,11.49,11.49,Digital Wallet,Dine-In,14,29,No,Cloudy,None,1.0,Burger Bun,0.084,59.3,29.16,Adequate,0.0317,Completed,Suburbs,0,,Yes,1,1,Sunday,Sunday
ORD-10848,CUST-1351,2024-01-04,17:38,Thursday,1,1,Winter,Double Cheeseburger,Burgers,1,11.49,11.49,Cash,Dine-In,13,29,No,Cloudy,None,1.0,Cheddar Cheese,0.0827,47.29,18.03,Adequate,0.0092,Completed,Suburbs,0,,Yes,1,1,Sunday,Sunday
ORD-10848,CUST-1351,2024-01-04,17:38,Thursday,1,1,Winter,Double Cheeseburger,Burgers,1,11.49,11.49,Digital Wallet,Dine-In,13,29,No,Cloudy,None,1.0,Pickles,0.0209,48.98,19.61,Adequate,0.0225,Completed,Suburbs,0,,Yes,1,1,Sunday,Sunday
ORD-10848,CUST-1351,2024-01-04,17:38,Thursday,1,1,Winter,Double Cheeseburger,Burgers,1,11.49,11.49,Credit Card,Dine-In,11,29,No,Cloudy,None,1.0,Mustard,0.0103,98.26,29.71,Adequate,0.0172,Completed,Suburbs,0,,Yes,1,1,Sunday,Sunday
ORD-10848,CUST-1351,2024-01-04,17:38,Thursday,1,1,Winter,Double Cheeseburger,Burgers,1,11.49,11.49,Online,Dine-In,12,29,No,Cloudy,None,1.0,Onions,0.0291,113.02,31.95,Adequate,0.03,Completed,Suburbs,0,,Yes,1,1,Sunday,Sunday
ORD-10194,CUST-1498,2024-01-05,11:08,Friday,1,1,Winter,Veggie Burger,Burgers,2,9.49,18.98,Digital Wallet,Takeaway,12,,No,Snowy,None,5.0,Veggie Patty,0.347,38.31,34.72,Adequate,0.0301,Completed,Suburbs,1,60.0,No,2,3,Saturday,Sunday
ORD-10194,CUST-1498,2024-01-05,11:08,Friday,1,1,Winter,Veggie Burger,Burgers,2,9.49,18.98,Credit Card,Takeaway,10,,No,Snowy,None,5.0,Burger Bun,0.1672,72.06,29.37,Adequate,0.0545,Completed,Suburbs,1,60.0,No,2,3,Saturday,Sunday
ORD-10194,CUST-1498,2024-01-05,11:08,Friday,1,1,Winter,Veggie Burger,Burgers,2,9.49,18.98,Cash,Takeaway,13,,No,Snowy,None,5.0,Lettuce,0.0767,50.57,30.41,Adequate,0.0156,Completed,Suburbs,1,60.0,No,2,3,Saturday,Sunday
ORD-10194,CUST-1498,2024-01-05,11:08,Friday,1,1,Winter,Veggie Burger,Burgers,2,9.49,18.98,Cash,Takeaway,8,,No,Snowy,None,5.0,Tomato,0.1023,114.49,18.3,Adequate,0.062,Completed,Suburbs,1,60.0,No,2,3,Saturday,Sunday
ORD-10194,CUST-1498,2024-01-05,11:08,Friday,1,1,Winter,Veggie Burger,Burgers,2,9.49,18.98,Digital Wallet,Takeaway,13,,No,Snowy,None,5.0,Avocado,0.1206,69.29,32.49,Adequate,0.0456,Completed,Suburbs,1,60.0,No,2,3,Saturday,Sunday
ORD-10194,CUST-1498,2024-01-05,11:08,Friday,1,1,Winter,Veggie Burger,Burgers,2,9.49,18.98,Online,Takeaway,13,,No,Snowy,None,5.0,Mayo,0.0409,67.97,25.3,Adequate,0.0187,Completed,Suburbs,1,60.0,No,2,3,Saturday,Sunday
ORD-10338,CUST-1413,2024-01-05,17:01,Friday,1,1,Winter,Hot Coffee,Beverages,3,2.97,8.91,Online,Dine-In,4,24,Yes,Cold,None,5.0,Coffee Beans,0.0564,29.83,30.67,Low Stock,0.054,Completed,Suburbs,0,,Yes,1,3,Saturday,Sunday
ORD-10338,CUST-1413,2024-01-05,17:01,Friday,1,1,Winter,Hot Coffee,Beverages,3,2.97,8.91,Credit Card,Dine-In,3,24,Yes,Cold,None,5.0,Milk,0.3703,94.85,27.1,Adequate,0.0478,Completed,Suburbs,0,,Yes,1,3,Saturday,Sunday
ORD-10338,CUST-1413,2024-01-05,17:01,Friday,1,1,Winter,Hot Coffee,Beverages,3,2.97,8.91,Debit Card,Dine-In,3,24,Yes,Cold,None,5.0,Sugar,0.0305,99.47,25.08,Adequate,0.0424,Completed,Suburbs,0,,Yes,1,3,Saturday,Sunday
ORD-10141,CUST-1471,2024-01-06,11:18,Saturday,1,1,Winter,Margherita Pizza,Pizza,3,11.04,33.12,Debit Card,Takeaway,21,,Yes,Cold,None,4.0,Pizza Dough,0.8136,87.35,17.15,Adequate,0.0595,Completed,City Center,1,33.0,No,1,3,Saturday,Saturday
ORD-10141,CUST-1471,2024-01-06,11:18,Saturday,1,1,Winter,Margherita Pizza,Pizza,3,11.04,33.12,Debit Card,Takeaway,16,,Yes,Cold,None,4.0,Tomato Sauce,0.3004,60.76,30.23,Adequate,0.0639,Completed,City Center,1,33.0,No,1,3,Saturday,Saturday
ORD-10141,CUST-1471,2024-01-06,11:18,Saturday,1,1,Winter,Margherita Pizza,Pizza,3,11.04,33.12,Debit Card,Takeaway,15,,Yes,Cold,None,4.0,Mozzarella Cheese,0.4509,69.58,22.23,Adequate,0.0236,Completed,City Center,1,33.0,No,1,3,Saturday,Saturday
ORD-10141,CUST-1471,2024-01-06,11:18,Saturday,1,1,Winter,Margherita Pizza,Pizza,3,11.04,33.12,Debit Card,Takeaway,22,,Yes,Cold,None,4.0,Fresh Basil,0.06,58.48,24.14,Adequate,0.0387,Completed,City Center,1,33.0,No,1,3,Saturday,Saturday
ORD-10141,CUST-1471,2024-01-06,11:18,Saturday,1,1,Winter,Margherita Pizza,Pizza,3,11.04,33.12,Cash,Takeaway,22,,Yes,Cold,None,4.0,Olive Oil,0.0594,118.5,23.56,Adequate,0.1136,Completed,City Center,1,33.0,No,1,3,Saturday,Saturday
ORD-10048,CUST-1054,2024-01-06,12:18,Saturday,1,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Digital Wallet,Takeaway,8,,No,Snowy,None,3.0,Beef Patty,0.5414,101.52,20.35,Adequate,0.0542,Pending,City Center,1,31.0,No,4,11,Monday,Saturday
ORD-10048,CUST-1054,2024-01-06,12:18,Saturday,1,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Credit Card,Takeaway,10,,No,Snowy,None,3.0,Burger Bun,0.2377,76.5,34.8,Adequate,0.0868,Pending,City Center,1,31.0,No,4,11,Monday,Saturday
ORD-10048,CUST-1054,2024-01-06,12:18,Saturday,1,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Cash,Takeaway,8,,No,Snowy,None,3.0,Lettuce,0.0931,85.37,32.16,Adequate,0.0576,Pending,City Center,1,31.0,No,4,11,Monday,Saturday
ORD-10048,CUST-1054,2024-01-06,12:18,Saturday,1,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Credit Card,Takeaway,8,,No,Snowy,None,3.0,Tomato,0.1482,67.6,27.73,Adequate,0.0675,Pending,City Center,1,31.0,No,4,11,Monday,Saturday
ORD-10048,CUST-1054,2024-01-06,12:18,Saturday,1,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Cash,Takeaway,12,,No,Snowy,None,3.0,Cheddar Cheese,0.1192,98.44,26.32,Adequate,0.1115,Pending,City Center,1,31.0,No,4,11,Monday,Saturday
ORD-10048,CUST-1054,2024-01-06,12:18,Saturday,1,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Online,Takeaway,11,,No,Snowy,None,3.0,Ketchup,0.0584,110.13,28.85,Adequate,0.0435,Pending,City Center,1,31.0,No,4,11,Monday,Saturday
ORD-10684,CUST-1244,2024-01-06,15:37,Saturday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Debit Card,Takeaway,12,,No,Snowy,None,4.0,Chicken Breast,0.6236,85.25,22.72,Adequate,0.0524,Pending,Downtown,0,27.0,Yes,2,6,Sunday,Saturday
ORD-10684,CUST-1244,2024-01-06,15:37,Saturday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Debit Card,Takeaway,10,,No,Snowy,None,4.0,Pita Bread,0.2647,103.2,17.88,Adequate,0.0849,Pending,Downtown,0,27.0,Yes,2,6,Sunday,Saturday
ORD-10684,CUST-1244,2024-01-06,15:37,Saturday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Credit Card,Takeaway,10,,No,Snowy,None,4.0,Tahini Sauce,0.1205,42.25,27.41,Adequate,0.0454,Pending,Downtown,0,27.0,Yes,2,6,Sunday,Saturday
ORD-10684,CUST-1244,2024-01-06,15:37,Saturday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Digital Wallet,Takeaway,8,,No,Snowy,None,4.0,Lettuce,0.0884,91.33,27.58,Adequate,0.083,Pending,Downtown,0,27.0,Yes,2,6,Sunday,Saturday
ORD-10684,CUST-1244,2024-01-06,15:37,Saturday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Debit Card,Takeaway,11,,No,Snowy,None,4.0,Tomato,0.1259,80.25,25.45,Adequate,0.0364,Pending,Downtown,0,27.0,Yes,2,6,Sunday,Saturday
ORD-10684,CUST-1244,2024-01-06,15:37,Saturday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Credit Card,Takeaway,12,,No,Snowy,None,4.0,Garlic Sauce,0.092,33.28,34.84,Low Stock,0.0993,Pending,Downtown,0,27.0,Yes,2,6,Sunday,Saturday
ORD-10684,CUST-1244,2024-01-06,15:37,Saturday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Online,Takeaway,10,,No,Snowy,None,4.0,Pickles,0.0572,80.32,27.27,Adequate,0.1109,Pending,Downtown,0,27.0,Yes,2,6,Sunday,Saturday
ORD-10102,CUST-1041,2024-01-06,15:50,Saturday,1,1,Winter,Mushroom Soup,Soups,5,6.99,34.95,Debit Card,Takeaway,11,,No,Cold,None,2.0,Mushrooms,1.4357,67.01,18.84,Adequate,0.1699,Pending,Suburbs,0,41.0,No,1,5,Sunday,Sunday
ORD-10102,CUST-1041,2024-01-06,15:50,Saturday,1,1,Winter,Mushroom Soup,Soups,5,6.99,34.95,Digital Wallet,Takeaway,9,,No,Cold,None,2.0,Vegetable Stock,0.7216,96.81,19.98,Adequate,0.1541,Pending,Suburbs,0,41.0,No,1,5,Sunday,Sunday
ORD-10102,CUST-1041,2024-01-06,15:50,Saturday,1,1,Winter,Mushroom Soup,Soups,5,6.99,34.95,Online,Takeaway,13,,No,Cold,None,2.0,Cream,0.3337,66.08,30.42,Adequate,0.1969,Pending,Suburbs,0,41.0,No,1,5,Sunday,Sunday
