ingredient_name,unit,opening_stock_kg,quantity_used_kg,quantity_wasted_kg,closing_stock_kg,reorder_level_kg,reorder_triggered,supplier,cost_per_kg_usd,last_restocked,days_until_stockout
Pizza Dough,kg,195.75,26.11,1.55,168.09,33.61,No,GlobalFoods,12.27,2024-08-29,154.5
Potatoes,kg,181.53,32.8,6.26,142.47,31.56,No,LocalFarm,2.63,2024-07-20,101.4
Red Onions,kg,92.6,62.85,7.74,22.01,18.23,No,LocalFarm,13.41,2024-09-12,1.8
Romaine Lettuce,kg,102.41,35.88,2.51,64.02,36.69,No,FreshMart,7.56,2024-09-12,22.9
Rose Water,kg,187.6,29.34,1.05,157.21,21.19,No,FarmDirect,1.61,2024-11-27,139.1
Saffron,kg,198.61,36.04,6.07,156.5,21.89,No,FreshMart,8.22,2024-08-11,112.1
Salt,kg,166.31,21.72,5.27,139.32,32.83,No,GlobalFoods,5.27,2024-04-27,147.1
Spaghetti,kg,177.51,40.38,1.69,135.44,18.33,No,EcoProvide,10.61,2024-11-09,87.0
Sugar,kg,149.01,59.11,6.83,83.07,31.0,No,FreshMart,13.28,2024-12-27,26.4
Sugar Syrup,kg,180.48,58.63,1.18,120.67,31.09,No,FarmDirect,7.66,2024-03-25,45.8
Tahini Sauce,kg,180.16,63.07,4.16,112.93,33.56,No,EcoProvide,2.94,2024-12-24,37.8
Thyme,kg,181.44,52.14,4.61,124.69,27.84,No,LocalFarm,10.58,2024-06-20,55.7
Tomato,kg,165.2,63.18,2.8,99.22,21.3,No,LocalFarm,4.59,2024-04-08,37.0
Tomato Sauce,kg,115.74,36.54,1.31,77.89,26.91,No,LocalFarm,9.45,2024-09-02,41.9
Tomatoes,kg,109.14,66.84,4.03,38.27,31.09,No,QuickSupply,11.95,2024-05-22,3.2
Vanilla Extract,kg,145.84,63.94,1.26,80.64,19.54,No,GlobalFoods,8.44,2024-03-10,28.7
Vegetable Oil,kg,163.86,43.42,6.73,113.71,22.16,No,FarmDirect,6.65,2024-08-29,63.3
Vegetable Stock,kg,139.72,45.83,5.64,88.25,28.02,No,EcoProvide,2.05,2024-09-09,39.4
Veggie Patty,kg,80.37,54.56,1.94,23.87,39.13,Yes,EcoProvide,9.0,2024-04-24,0.0
Water,kg,155.97,24.16,5.86,125.95,37.5,No,GlobalFoods,10.7,2024-02-19,109.8
Whipped Cream,kg,199.2,42.72,2.25,154.23,30.36,No,FarmDirect,4.39,2024-08-09,87.0
Yogurt,kg,126.24,61.43,3.71,61.1,21.61,No,FreshMart,6.91,2024-03-18,19.3
