order_id,customer_id,order_date,order_time,day_of_week,week_number,month,season,dish_name,dish_category,quantity_ordered,price_per_item,total_price,payment_method,dine_in_or_takeaway,preparation_time_minutes,table_number,promotion_applied,weather_condition,special_event_or_holiday,customer_rating,ingredient_name,ingredient_quantity_used_kg,current_stock_available_kg,stock_reorder_level_kg,stock_status,estimated_food_waste_kg,order_status,restaurant_branch,peak_hour_flag,delivery_time_minutes,repeat_customer_flag,orders_this_week,total_qty_this_week,rush_day_for_dish,branch_rush_day,dayofweek,age_group,loyalty_tier,dish_category_enc,day_of_week_enc,season_enc,weather_condition_enc,dine_in_or_takeaway_enc,promotion_applied_enc,restaurant_branch_enc,lag_1week_qty,rolling_7day_avg
ORD-10048,CUST-1054,2024-01-06,12:18,Saturday,1,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Digital Wallet,Takeaway,8,,No,Snowy,,3.0,Beef Patty,0.5414,101.52,20.35,Adequate,0.0542,Pending,City Center,1,31.0,No,4,11,Monday,Saturday,5,35-44,Platinum,3,5,0,0,1,0,4,,3.3333333333333335
ORD-10141,CUST-1471,2024-01-06,11:18,Saturday,1,1,Winter,Margherita Pizza,Pizza,3,11.04,33.12,Debit Card,Takeaway,21,,Yes,Cold,,4.0,Pizza Dough,0.8136,87.35,17.15,Adequate,0.0595,Completed,City Center,1,33.0,No,1,3,Saturday,Saturday,5,18-24,Bronze,6,5,0,1,1,1,4,,3.0
ORD-10299,CUST-1222,2024-01-07,13:30,Sunday,1,1,Winter,Spaghetti Carbonara,Pasta,1,13.49,13.49,Cash,Dine-In,16,21.0,No,Cold,,4.0,Spaghetti,0.1826,52.4,30.13,Adequate,0.007,Completed,Downtown,1,,Yes,3,4,Friday,Saturday,6,55+,Gold,0,6,0,1,0,0,1,,1.3333333333333333
ORD-10340,CUST-1475,2024-01-07,17:54,Sunday,1,1,Winter,Lemonade,Beverages,1,2.97,2.97,Debit Card,Dine-In,3,2.0,Yes,Cloudy,,5.0,Lemons,0.0935,111.52,29.77,Adequate,0.0387,Completed,Downtown,0,,Yes,1,1,Sunday,Saturday,6,55+,Gold,5,6,0,3,0,1,1,,1.0
ORD-10611,CUST-1348,2024-01-08,09:33,Monday,2,1,Winter,Lamb Biryani,Rice Dishes,1,14.02,14.02,Debit Card,Takeaway,21,,Yes,Cold,,5.0,Basmati Rice,0.3067,68.91,20.95,Adequate,0.0189,Completed,Downtown,0,29.0,Yes,2,3,Saturday,Saturday,0,55+,Silver,8,0,0,1,1,1,1,,1.0
ORD-10665,CUST-1311,2024-01-08,15:10,Monday,2,1,Winter,Lamb Biryani,Rice Dishes,2,16.49,32.98,Debit Card,Takeaway,29,,No,Cloudy,,4.0,Basmati Rice,0.6101,49.58,34.21,Adequate,0.034,Completed,City Center,0,43.0,Yes,2,3,Saturday,Saturday,0,25-34,Gold,8,0,0,3,1,0,4,,1.5
ORD-10711,CUST-1153,2024-01-08,15:30,Monday,2,1,Winter,Mushroom Soup,Soups,1,6.99,6.99,Credit Card,Dine-In,8,13.0,No,Cloudy,,5.0,Mushrooms,0.302,66.93,25.37,Adequate,0.0199,Pending,Suburbs,0,,No,1,1,Sunday,Sunday,0,55+,Silver,1,0,0,3,0,0,2,,3.0
ORD-10482,CUST-1141,2024-01-08,16:37,Monday,2,1,Winter,Chocolate Lava Cake,Desserts,5,6.99,34.95,Digital Wallet,Takeaway,10,,No,Cold,,1.0,Chocolate,0.3565,91.92,32.69,Adequate,0.055,Completed,City Center,0,60.0,No,2,6,Friday,Saturday,0,55+,Bronze,2,0,0,1,1,0,4,,5.0
ORD-10242,CUST-1335,2024-01-08,18:05,Monday,2,1,Winter,Tomato Soup,Soups,1,6.49,6.49,Debit Card,Takeaway,9,,No,Cloudy,,4.0,Tomatoes,0.3618,59.55,29.36,Adequate,0.0369,Completed,Mall Branch,1,24.0,No,2,3,Saturday,Sunday,0,35-44,Gold,1,0,0,3,1,0,0,,3.0
ORD-10333,CUST-1438,2024-01-08,19:15,Monday,2,1,Winter,Hot Coffee,Beverages,1,3.49,3.49,Cash,Takeaway,3,,No,Snowy,,4.0,Coffee Beans,0.0182,117.75,15.07,Adequate,0.0319,Completed,Mall Branch,1,55.0,No,1,1,Saturday,Sunday,0,25-34,Bronze,5,0,0,0,1,0,0,,2.0
ORD-10386,CUST-1493,2024-01-09,11:05,Tuesday,2,1,Winter,Veggie Burger,Burgers,4,9.49,37.96,Cash,Dine-In,12,28.0,No,Snowy,,5.0,Veggie Patty,0.6718,50.27,16.57,Adequate,0.0716,Completed,Mall Branch,1,,Yes,3,9,Saturday,Sunday,1,18-24,Platinum,3,1,0,0,0,0,0,,3.0
ORD-10135,CUST-1248,2024-01-09,19:33,Tuesday,2,1,Winter,French Fries,Sides,2,3.99,7.98,Debit Card,Takeaway,6,,No,Cloudy,,5.0,Potatoes,0.4382,76.73,32.97,Adequate,0.0652,Completed,Suburbs,1,40.0,No,3,7,Saturday,Sunday,1,55+,Platinum,9,1,0,3,1,0,2,,2.0
ORD-10987,CUST-1475,2024-01-10,19:49,Wednesday,2,1,Winter,Shawarma Wrap,Wraps,1,9.99,9.99,Credit Card,Dine-In,7,11.0,No,Rainy,,4.0,Chicken Breast,0.2073,93.62,27.59,Adequate,0.0368,Completed,Suburbs,1,,Yes,1,1,Sunday,Sunday,2,55+,Gold,4,2,0,2,0,0,2,,2.3333333333333335
ORD-10537,CUST-1276,2024-01-10,16:27,Wednesday,2,1,Winter,Margherita Pizza,Pizza,1,11.04,11.04,Online,Takeaway,20,,Yes,Cloudy,,5.0,Pizza Dough,0.2889,71.68,20.69,Adequate,0.0195,Completed,Suburbs,0,27.0,Yes,1,1,Saturday,Sunday,2,25-34,Platinum,6,2,0,3,1,1,2,,2.0
ORD-10053,CUST-1401,2024-01-10,15:05,Wednesday,2,1,Winter,Veggie Burger,Burgers,4,8.07,32.28,Cash,Dine-In,13,15.0,Yes,Cold,,4.0,Veggie Patty,0.6951,65.24,16.34,Adequate,0.0361,Completed,Suburbs,0,,No,3,9,Saturday,Sunday,2,35-44,Platinum,3,2,0,1,0,1,2,,3.3333333333333335
ORD-10118,CUST-1073,2024-01-10,16:12,Wednesday,2,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Credit Card,Dine-In,13,11.0,No,Snowy,,,Spaghetti,0.3716,113.8,28.53,Adequate,0.085,Cancelled,Downtown,0,,No,2,4,Friday,Saturday,2,18-24,Platinum,0,2,0,0,0,0,1,,1.5
ORD-10519,CUST-1440,2024-01-11,09:20,Thursday,2,1,Winter,Double Cheeseburger,Burgers,1,11.49,11.49,Cash,Dine-In,10,4.0,No,Snowy,,3.0,Beef Patty,0.3471,33.57,17.73,Adequate,0.0397,Completed,City Center,0,,Yes,3,4,Sunday,Saturday,3,35-44,Gold,3,3,0,0,0,0,4,,1.0
ORD-10496,CUST-1254,2024-01-11,11:00,Thursday,2,1,Winter,Classic Burger,Burgers,1,8.99,8.99,Cash,Takeaway,10,,No,Cold,,,Beef Patty,0.1786,54.69,23.8,Adequate,0.0133,Cancelled,Airport,1,47.0,Yes,4,8,Monday,Saturday,3,45-54,Platinum,3,3,0,1,1,0,3,,2.75
ORD-10306,CUST-1366,2024-01-11,16:57,Thursday,2,1,Winter,Double Cheeseburger,Burgers,1,9.77,9.77,Debit Card,Dine-In,14,27.0,Yes,Cold,,4.0,Beef Patty,0.3507,118.4,15.69,Adequate,0.0322,Completed,Airport,0,,No,3,4,Sunday,Saturday,3,25-34,Bronze,3,3,0,1,0,1,3,,1.0
ORD-10355,CUST-1344,2024-01-12,13:24,Friday,2,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Online,Dine-In,15,1.0,No,Rainy,,4.0,Spaghetti,0.3727,46.83,18.65,Adequate,0.0422,Completed,Airport,1,,Yes,2,4,Friday,Saturday,4,55+,Silver,0,4,0,2,0,0,3,,1.6
ORD-10581,CUST-1422,2024-01-12,18:04,Friday,2,1,Winter,Classic Burger,Burgers,1,8.99,8.99,Debit Card,Takeaway,8,,No,Rainy,,5.0,Beef Patty,0.18,79.16,22.98,Adequate,0.008,Completed,City Center,1,43.0,Yes,4,8,Monday,Saturday,4,55+,Bronze,3,4,0,2,1,0,4,,2.4
ORD-10588,CUST-1230,2024-01-12,19:16,Friday,2,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Cash,Takeaway,13,,No,Cloudy,,5.0,Beef Patty,0.5152,77.96,20.14,Adequate,0.0678,Pending,Airport,1,36.0,No,4,8,Monday,Saturday,4,18-24,Platinum,3,4,0,3,1,0,3,,2.5
ORD-10935,CUST-1285,2024-01-13,10:04,Saturday,2,1,Winter,Tomato Soup,Soups,2,6.49,12.98,Debit Card,Dine-In,8,19.0,No,Cold,,3.0,Tomatoes,0.7078,83.37,24.36,Adequate,0.0527,Completed,Airport,0,,Yes,2,3,Saturday,Saturday,5,25-34,Gold,1,5,0,1,0,0,3,,2.75
ORD-10511,CUST-1420,2024-01-13,10:30,Saturday,2,1,Winter,French Fries,Sides,2,3.99,7.98,Cash,Dine-In,7,23.0,No,Cold,,,Potatoes,0.4612,73.74,17.09,Adequate,0.0145,Completed,Airport,0,,No,3,7,Saturday,Saturday,5,35-44,Silver,9,5,0,1,0,0,3,,2.0
ORD-10232,CUST-1441,2024-01-13,13:52,Saturday,2,1,Winter,Chocolate Lava Cake,Desserts,1,6.99,6.99,Debit Card,Dine-In,10,1.0,No,Cold,,3.0,Chocolate,0.0678,63.11,16.05,Adequate,0.024,Completed,Suburbs,1,,No,2,6,Friday,Sunday,5,18-24,Bronze,2,5,0,1,0,0,2,,3.0
ORD-10389,CUST-1449,2024-01-13,15:20,Saturday,2,1,Winter,Onion Rings,Sides,1,4.49,4.49,Online,Takeaway,9,,No,Cold,,4.0,Onions,0.1836,42.7,27.92,Adequate,0.0214,Completed,Airport,0,25.0,No,1,1,Sunday,Saturday,5,35-44,Bronze,9,5,0,1,1,0,3,,1.0
ORD-10487,CUST-1317,2024-01-13,22:27,Saturday,2,1,Winter,French Fries,Sides,3,3.99,11.97,Debit Card,Dine-In,8,29.0,No,Rainy,,4.0,Potatoes,0.6878,117.9,15.68,Adequate,0.0711,Completed,City Center,0,,No,3,7,Saturday,Saturday,5,45-54,Gold,9,5,0,2,0,0,4,,2.3333333333333335
ORD-10107,CUST-1476,2024-01-14,13:49,Sunday,2,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Cash,Takeaway,10,,No,Cloudy,,3.0,Beef Patty,0.5631,83.39,27.64,Adequate,0.0701,Pending,City Center,1,46.0,No,4,8,Monday,Saturday,6,35-44,Platinum,3,6,0,3,1,0,4,,2.5714285714285716
ORD-10974,CUST-1453,2024-01-14,22:58,Sunday,2,1,Winter,Veggie Burger,Burgers,1,9.49,9.49,Digital Wallet,Dine-In,9,2.0,No,Cold,,4.0,Veggie Patty,0.1755,111.96,20.03,Adequate,0.0265,Completed,Suburbs,0,,No,3,9,Saturday,Sunday,6,35-44,Platinum,3,6,0,1,0,0,2,,2.75
ORD-10708,CUST-1441,2024-01-14,13:38,Sunday,2,1,Winter,Chicken Biryani,Rice Dishes,4,13.99,55.96,Credit Card,Takeaway,24,,No,Cloudy,,,Basmati Rice,1.1752,41.25,28.94,Adequate,0.0817,Cancelled,City Center,1,50.0,Yes,1,4,Friday,Saturday,6,18-24,Bronze,8,6,0,3,1,0,4,,4.0
ORD-10322,CUST-1170,2024-01-14,19:09,Sunday,2,1,Winter,Double Cheeseburger,Burgers,2,9.77,19.54,Online,Dine-In,15,25.0,Yes,Cold,,,Beef Patty,0.7012,68.16,23.2,Adequate,0.0716,Cancelled,City Center,1,,Yes,3,4,Sunday,Saturday,6,45-54,Platinum,3,6,0,1,0,1,4,,1.25
ORD-10864,CUST-1139,2024-01-15,12:04,Monday,3,1,Winter,Tomato Soup,Soups,3,6.49,19.47,Cash,Takeaway,8,,No,Cloudy,,4.0,Tomatoes,1.0396,44.78,27.15,Adequate,0.0423,Completed,Suburbs,1,36.0,Yes,1,3,Saturday,Sunday,0,25-34,Silver,1,0,0,3,1,0,2,,2.8
ORD-10328,CUST-1143,2024-01-15,20:42,Monday,3,1,Winter,Chocolate Lava Cake,Desserts,1,6.99,6.99,Digital Wallet,Dine-In,10,5.0,No,Cold,,2.0,Chocolate,0.069,69.83,29.77,Adequate,0.0059,Completed,City Center,1,,Yes,1,1,Friday,Saturday,0,18-24,Platinum,2,0,0,1,0,0,4,,2.3333333333333335
ORD-10136,CUST-1075,2024-01-16,11:16,Tuesday,3,1,Winter,Spaghetti Carbonara,Pasta,1,13.49,13.49,Credit Card,Takeaway,15,,No,Cold,,3.0,Spaghetti,0.1732,22.49,33.62,Low Stock,0.0375,Completed,Airport,1,42.0,No,1,1,Friday,Saturday,1,45-54,Gold,0,1,0,1,1,0,3,,1.5
ORD-10373,CUST-1479,2024-01-17,15:40,Wednesday,3,1,Winter,BBQ Chicken Pizza,Pizza,2,15.99,31.98,Credit Card,Dine-In,24,9.0,No,Cloudy,,,Pizza Dough,0.5607,35.17,23.88,Adequate,0.0337,Completed,Suburbs,0,,Yes,1,2,Monday,Sunday,2,45-54,Gold,6,2,0,3,0,0,2,,2.0
ORD-10045,CUST-1094,2024-01-18,17:24,Thursday,3,1,Winter,Mushroom Soup,Soups,1,6.99,6.99,Credit Card,Dine-In,11,13.0,No,Cold,,,Mushrooms,0.2922,42.53,32.15,Adequate,0.0518,Cancelled,Suburbs,0,,No,1,1,Sunday,Sunday,3,25-34,Platinum,1,3,0,1,0,0,2,,2.3333333333333335
ORD-10390,CUST-1497,2024-01-18,17:39,Thursday,3,1,Winter,Penne Arrabbiata,Pasta,2,10.19,20.38,Credit Card,Takeaway,15,,Yes,Cold,,4.0,Penne Pasta,0.3609,108.13,19.84,Adequate,0.0471,Pending,Airport,0,33.0,Yes,1,2,Saturday,Saturday,3,18-24,Gold,0,3,0,1,1,1,3,,2.0
ORD-10154,CUST-1091,2024-01-19,13:03,Friday,3,1,Winter,Greek Salad,Salads,2,8.49,16.98,Debit Card,Dine-In,6,9.0,No,Cloudy,,4.0,Cucumber,0.2485,36.29,30.59,Adequate,0.0184,Completed,Downtown,1,,No,2,3,Saturday,Saturday,4,55+,Gold,7,4,0,3,0,0,1,,2.5
ORD-10721,CUST-1300,2024-01-19,11:43,Friday,3,1,Winter,Caesar Salad,Salads,3,8.99,26.97,Cash,Dine-In,6,16.0,No,Cloudy,,5.0,Romaine Lettuce,0.7533,83.63,25.38,Adequate,0.0705,Completed,Mall Branch,1,,Yes,1,3,Tuesday,Sunday,4,45-54,Platinum,7,4,0,3,0,0,0,,3.0
ORD-10756,CUST-1343,2024-01-19,17:55,Friday,3,1,Winter,Shawarma Wrap,Wraps,1,9.99,9.99,Online,Dine-In,9,24.0,No,Cold,,5.0,Chicken Breast,0.1993,42.79,32.72,Adequate,0.0366,Completed,Suburbs,0,,No,1,1,Sunday,Sunday,4,55+,Bronze,4,4,0,1,0,0,2,,2.0
ORD-10198,CUST-1026,2024-01-20,13:22,Saturday,3,1,Winter,Greek Salad,Salads,1,8.49,8.49,Digital Wallet,Dine-In,7,1.0,No,Cold,,4.0,Cucumber,0.1249,30.08,18.7,Adequate,0.0167,Completed,Airport,1,,No,2,3,Saturday,Saturday,5,25-34,Bronze,7,5,0,1,0,0,3,,2.0
ORD-10590,CUST-1261,2024-01-21,18:08,Sunday,3,1,Winter,Onion Rings,Sides,1,3.82,3.82,Debit Card,Dine-In,8,28.0,Yes,Snowy,,,Onions,0.1857,72.87,30.4,Adequate,0.0407,Cancelled,Suburbs,1,,No,1,1,Sunday,Sunday,6,25-34,Gold,9,6,0,0,0,1,2,,1.0
ORD-10823,CUST-1130,2024-01-21,18:09,Sunday,3,1,Winter,Hot Coffee,Beverages,3,3.49,10.47,Digital Wallet,Dine-In,2,24.0,No,Cold,,,Coffee Beans,0.0556,84.22,15.31,Adequate,0.0797,Pending,Downtown,1,,Yes,2,7,Saturday,Saturday,6,35-44,Gold,5,6,0,1,0,0,1,,2.3333333333333335
ORD-10653,CUST-1054,2024-01-21,10:59,Sunday,3,1,Winter,Hot Coffee,Beverages,4,2.97,11.88,Debit Card,Dine-In,4,27.0,Yes,Rainy,,1.0,Coffee Beans,0.0685,24.81,21.96,Adequate,0.0863,Completed,Mall Branch,0,,Yes,2,7,Saturday,Sunday,6,35-44,Platinum,5,6,0,2,0,1,0,,2.75
ORD-10940,CUST-1309,2024-01-21,17:24,Sunday,3,1,Winter,Classic Burger,Burgers,3,8.99,26.97,Credit Card,Takeaway,12,,No,Cold,,2.0,Beef Patty,0.5485,72.93,25.37,Adequate,0.0298,Completed,Suburbs,0,32.0,Yes,1,3,Monday,Sunday,6,25-34,Silver,3,6,0,1,1,0,2,5.0,2.2857142857142856
ORD-10560,CUST-1172,2024-01-22,10:53,Monday,4,1,Winter,Chicken Biryani,Rice Dishes,1,13.99,13.99,Online,Takeaway,27,,No,Snowy,,4.0,Basmati Rice,0.2943,23.25,21.6,Adequate,0.0239,Pending,Downtown,0,58.0,Yes,1,1,Friday,Saturday,0,35-44,Bronze,8,0,0,0,1,0,1,,2.5
ORD-10298,CUST-1248,2024-01-22,17:20,Monday,4,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Cash,Takeaway,17,,No,Cold,,4.0,Spaghetti,0.3765,79.76,17.41,Adequate,0.0719,Pending,Mall Branch,0,40.0,Yes,5,7,Friday,Sunday,0,55+,Platinum,0,0,0,1,1,0,0,,1.5714285714285714
ORD-10533,CUST-1313,2024-01-22,17:32,Monday,4,1,Winter,BBQ Chicken Pizza,Pizza,2,15.99,31.98,Cash,Takeaway,24,,No,Cold,,4.0,Pizza Dough,0.5801,38.04,31.05,Adequate,0.0297,Pending,Suburbs,0,60.0,No,2,5,Monday,Sunday,0,55+,Gold,6,0,0,1,1,0,2,,2.0
ORD-10870,CUST-1488,2024-01-22,17:32,Monday,4,1,Winter,Shawarma Wrap,Wraps,2,9.99,19.98,Digital Wallet,Takeaway,8,,No,Cold,,4.0,Chicken Breast,0.4025,74.42,16.88,Adequate,0.0282,Completed,Mall Branch,0,43.0,Yes,2,4,Sunday,Sunday,0,18-24,Gold,4,0,0,1,1,0,0,,2.0
ORD-10185,CUST-1444,2024-01-22,18:16,Monday,4,1,Winter,Ice Cream Sundae,Desserts,4,5.49,21.96,Digital Wallet,Takeaway,4,,No,Cold,,2.0,Ice Cream,0.7039,54.22,26.71,Adequate,0.1142,Completed,Downtown,1,26.0,Yes,2,7,Wednesday,Saturday,0,18-24,Bronze,2,0,0,1,1,0,1,,4.0
ORD-10468,CUST-1207,2024-01-22,18:21,Monday,4,1,Winter,BBQ Chicken Pizza,Pizza,3,15.99,47.97,Credit Card,Dine-In,19,28.0,No,Cloudy,,5.0,Pizza Dough,0.8564,40.82,18.87,Adequate,0.1069,Completed,Airport,1,,Yes,2,5,Monday,Saturday,0,35-44,Silver,6,0,0,3,0,0,3,,2.3333333333333335
ORD-10580,CUST-1371,2024-01-22,18:36,Monday,4,1,Winter,Hot Coffee,Beverages,3,3.49,10.47,Debit Card,Dine-In,4,12.0,No,Cold,,4.0,Coffee Beans,0.0532,72.53,34.17,Adequate,0.084,Completed,Airport,1,,Yes,5,10,Saturday,Saturday,0,55+,Bronze,5,0,0,1,0,0,3,,2.8
ORD-10043,CUST-1023,2024-01-22,19:46,Monday,4,1,Winter,Classic Burger,Burgers,1,7.64,7.64,Cash,Dine-In,10,3.0,Yes,Snowy,,4.0,Beef Patty,0.1878,26.9,33.68,Low Stock,0.0193,Completed,Downtown,1,,No,3,5,Monday,Saturday,0,35-44,Bronze,3,0,0,0,0,1,1,2.0,2.142857142857143
ORD-10623,CUST-1016,2024-01-22,21:18,Monday,4,1,Winter,Spaghetti Carbonara,Pasta,1,11.47,11.47,Digital Wallet,Dine-In,15,19.0,Yes,Rainy,,2.0,Spaghetti,0.1816,75.06,19.18,Adequate,0.0271,Completed,City Center,1,,No,5,7,Friday,Saturday,0,45-54,Gold,0,0,0,2,0,1,4,2.0,1.4285714285714286
ORD-10797,CUST-1292,2024-01-23,16:17,Tuesday,4,1,Winter,Classic Burger,Burgers,1,8.99,8.99,Digital Wallet,Takeaway,10,,No,Cold,,,Beef Patty,0.1761,61.49,29.8,Adequate,0.0178,Cancelled,Mall Branch,0,41.0,No,3,5,Monday,Sunday,1,35-44,Bronze,3,1,0,1,1,0,0,3.0,1.8571428571428572
ORD-10976,CUST-1062,2024-01-23,17:31,Tuesday,4,1,Winter,Hot Coffee,Beverages,2,3.49,6.98,Debit Card,Dine-In,3,9.0,No,Snowy,,,Coffee Beans,0.0348,80.81,25.08,Adequate,0.0534,Completed,Suburbs,0,,Yes,5,10,Saturday,Sunday,1,25-34,Platinum,5,1,0,0,0,0,2,,2.6666666666666665
ORD-10836,CUST-1102,2024-01-24,18:37,Wednesday,4,1,Winter,Hot Coffee,Beverages,2,3.49,6.98,Credit Card,Dine-In,3,19.0,No,Cold,,4.0,Coffee Beans,0.0344,117.93,24.09,Adequate,0.0636,Completed,Mall Branch,1,,Yes,5,10,Saturday,Sunday,2,35-44,Silver,5,2,0,1,0,0,0,,2.5714285714285716
