dish_name,dish_category,week_number,total_orders,total_qty,total_revenue,avg_rating,rush_day_for_dish
Greek Salad,Salads,3,2,3,25.47,4.0,Saturday
Greek Salad,Salads,10,1,2,16.98,5.0,Saturday
Greek Salad,Salads,11,1,1,8.49,3.0,Saturday
Greek Salad,Salads,12,2,6,45.86,4.0,Saturday
Greek Salad,Salads,21,1,2,16.98,5.0,Saturday
Greek Salad,Salads,22,2,2,16.98,5.0,Saturday
Greek Salad,Salads,24,3,8,66.65,4.0,Saturday
Greek Salad,Salads,26,1,2,16.98,4.0,Saturday
Greek Salad,Salads,29,1,2,16.98,,Saturday
Greek Salad,Salads,30,2,6,50.94,5.0,Saturday
Greek Salad,Salads,31,3,4,33.96,4.0,Saturday
Greek Salad,Salads,34,3,5,42.45,4.0,Saturday
Greek Salad,Salads,35,1,3,25.47,,Saturday
Greek Salad,Salads,36,2,3,25.47,3.5,Saturday
Greek Salad,Salads,41,1,1,8.49,3.0,Saturday
Greek Salad,Salads,43,1,2,16.98,3.0,Saturday
Greek Salad,Salads,46,1,5,42.45,4.0,Saturday
Greek Salad,Salads,47,1,2,14.44,4.0,Saturday
Hot Coffee,Beverages,1,1,3,8.91,5.0,Saturday
Hot Coffee,Beverages,2,1,1,3.49,4.0,Saturday
Hot Coffee,Beverages,3,2,7,22.35,1.0,Saturday
Hot Coffee,Beverages,4,5,10,34.38,4.33,Saturday
Hot Coffee,Beverages,5,1,3,10.47,,Saturday
Hot Coffee,Beverages,6,1,2,6.98,4.0,Saturday
Hot Coffee,Beverages,7,1,2,5.94,4.0,Saturday
Hot Coffee,Beverages,8,1,2,5.94,,Saturday
Hot Coffee,Beverages,9,1,1,2.97,,Saturday
Hot Coffee,Beverages,10,1,1,3.49,2.0,Saturday
Hot Coffee,Beverages,12,1,1,3.49,5.0,Saturday
Hot Coffee,Beverages,14,1,1,3.49,5.0,Saturday
Hot Coffee,Beverages,16,3,4,13.44,3.33,Saturday
Hot Coffee,Beverages,19,1,2,6.98,4.0,Saturday
Hot Coffee,Beverages,25,1,2,6.98,5.0,Saturday
Hot Coffee,Beverages,26,2,2,6.98,5.0,Saturday
Hot Coffee,Beverages,28,1,4,13.96,3.0,Saturday
Hot Coffee,Beverages,29,1,2,5.94,,Saturday
Hot Coffee,Beverages,35,3,7,23.39,4.5,Saturday
Hot Coffee,Beverages,36,1,1,3.49,4.0,Saturday
Hot Coffee,Beverages,37,1,3,10.47,5.0,Saturday
Hot Coffee,Beverages,38,2,4,13.96,3.5,Saturday
Hot Coffee,Beverages,40,1,2,5.94,4.0,Saturday
Hot Coffee,Beverages,42,1,1,3.49,5.0,Saturday
Hot Coffee,Beverages,45,1,2,6.98,5.0,Saturday
Hot Coffee,Beverages,47,1,1,3.49,1.0,Saturday
Hot Coffee,Beverages,51,2,5,17.45,4.5,Saturday
Hot Coffee,Beverages,52,1,1,3.49,4.0,Saturday
Ice Cream Sundae,Desserts,1,1,2,10.98,4.0,Wednesday
Ice Cream Sundae,Desserts,4,2,7,38.43,2.0,Wednesday
Ice Cream Sundae,Desserts,6,1,1,5.49,4.0,Wednesday
Ice Cream Sundae,Desserts,7,1,1,4.67,4.0,Wednesday
Ice Cream Sundae,Desserts,8,1,1,5.49,5.0,Wednesday
Ice Cream Sundae,Desserts,13,1,2,9.34,,Wednesday
Ice Cream Sundae,Desserts,19,1,1,5.49,5.0,Wednesday
Ice Cream Sundae,Desserts,21,2,3,16.47,,Wednesday
Ice Cream Sundae,Desserts,24,1,1,5.49,4.0,Wednesday
Ice Cream Sundae,Desserts,26,4,6,32.94,4.25,Wednesday
Ice Cream Sundae,Desserts,30,3,3,14.83,4.0,Wednesday
Ice Cream Sundae,Desserts,31,1,4,21.96,,Wednesday
Ice Cream Sundae,Desserts,32,3,8,43.92,3.67,Wednesday
Ice Cream Sundae,Desserts,35,1,2,10.98,4.0,Wednesday
Ice Cream Sundae,Desserts,37,1,4,21.96,3.0,Wednesday
Ice Cream Sundae,Desserts,39,1,1,5.49,3.0,Wednesday
Ice Cream Sundae,Desserts,44,1,2,10.98,4.0,Wednesday
Iced Coffee,Beverages,1,1,1,4.49,4.0,Sunday
Iced Coffee,Beverages,8,1,2,7.64,1.0,Sunday
Iced Coffee,Beverages,13,1,3,13.47,5.0,Sunday
Iced Coffee,Beverages,15,1,1,4.49,3.0,Sunday
Iced Coffee,Beverages,17,1,2,7.64,5.0,Sunday
Iced Coffee,Beverages,22,1,1,3.82,5.0,Sunday
Iced Coffee,Beverages,23,2,3,12.13,4.5,Sunday
Iced Coffee,Beverages,24,1,2,8.98,,Sunday
Iced Coffee,Beverages,25,1,2,8.98,4.0,Sunday
Iced Coffee,Beverages,27,5,13,58.37,4.0,Sunday
Iced Coffee,Beverages,29,2,5,22.45,3.5,Sunday
Iced Coffee,Beverages,31,1,2,7.64,4.0,Sunday
Iced Coffee,Beverages,33,1,1,3.82,2.0,Sunday
Iced Coffee,Beverages,34,1,3,11.46,4.0,Sunday
Iced Coffee,Beverages,35,1,4,17.96,,Sunday
Iced Coffee,Beverages,38,1,3,13.47,5.0,Sunday
Iced Coffee,Beverages,43,1,3,13.47,,Sunday
Iced Coffee,Beverages,47,1,2,8.98,5.0,Sunday
Iced Coffee,Beverages,50,1,1,4.49,,Sunday
Lamb Biryani,Rice Dishes,2,2,3,47.0,4.5,Saturday
Lamb Biryani,Rice Dishes,6,1,3,49.47,4.0,Saturday
Lamb Biryani,Rice Dishes,7,2,7,103.08,5.0,Saturday
Lamb Biryani,Rice Dishes,8,1,2,32.98,5.0,Saturday
Lamb Biryani,Rice Dishes,10,1,1,14.02,3.0,Saturday
Lamb Biryani,Rice Dishes,11,1,1,16.49,3.0,Saturday
Lamb Biryani,Rice Dishes,13,1,1,16.49,4.0,Saturday
Lamb Biryani,Rice Dishes,18,4,11,181.39,3.67,Saturday
Lamb Biryani,Rice Dishes,19,1,1,16.49,4.0,Saturday
Lamb Biryani,Rice Dishes,20,2,2,32.98,4.0,Saturday
Lamb Biryani,Rice Dishes,25,1,1,16.49,4.0,Saturday
Lamb Biryani,Rice Dishes,26,1,2,32.98,5.0,Saturday
Lamb Biryani,Rice Dishes,34,1,1,16.49,3.0,Saturday
Lamb Biryani,Rice Dishes,35,1,3,49.47,4.0,Saturday
Lamb Biryani,Rice Dishes,36,2,6,98.94,5.0,Saturday
Lamb Biryani,Rice Dishes,37,3,8,122.04,3.33,Saturday
Lamb Biryani,Rice Dishes,40,2,8,131.92,4.0,Saturday
Lamb Biryani,Rice Dishes,42,2,5,70.1,4.0,Saturday
Lamb Biryani,Rice Dishes,44,3,8,114.63,4.0,Saturday
Lamb Biryani,Rice Dishes,45,1,4,65.96,5.0,Saturday
Lamb Biryani,Rice Dishes,47,1,5,70.1,,Saturday
Lamb Biryani,Rice Dishes,48,3,7,98.14,4.0,Saturday
Lamb Biryani,Rice Dishes,50,3,11,181.39,5.0,Saturday
Lamb Biryani,Rice Dishes,51,1,3,49.47,4.0,Saturday
Lemonade,Beverages,1,1,1,2.97,5.0,Sunday
Lemonade,Beverages,10,1,2,6.98,5.0,Sunday
Lemonade,Beverages,16,2,2,6.46,4.5,Sunday
Lemonade,Beverages,18,1,1,3.49,3.0,Sunday
Lemonade,Beverages,19,1,1,3.49,4.0,Sunday
Lemonade,Beverages,21,2,4,13.96,4.5,Sunday
Lemonade,Beverages,24,2,4,13.96,4.5,Sunday
Lemonade,Beverages,25,2,5,17.45,4.0,Sunday
Lemonade,Beverages,26,2,4,13.96,4.0,Sunday
Lemonade,Beverages,28,4,10,33.86,2.67,Sunday
Lemonade,Beverages,29,1,2,6.98,4.0,Sunday
Lemonade,Beverages,30,2,4,11.88,4.0,Sunday
Lemonade,Beverages,31,1,1,3.49,,Sunday
Lemonade,Beverages,32,3,8,24.8,2.0,Sunday
Lemonade,Beverages,35,1,1,3.49,4.0,Sunday
Lemonade,Beverages,40,1,3,10.47,,Sunday
Lemonade,Beverages,47,2,4,13.96,4.0,Sunday
Lemonade,Beverages,49,2,5,17.45,2.5,Sunday
Lemonade,Beverages,51,1,4,13.96,4.0,Sunday
Mango Smoothie,Beverages,1,1,1,5.49,4.0,Saturday
Mango Smoothie,Beverages,11,1,2,10.98,4.0,Saturday
Mango Smoothie,Beverages,18,1,2,10.98,4.0,Saturday
Mango Smoothie,Beverages,20,1,1,5.49,,Saturday
Mango Smoothie,Beverages,23,1,1,5.49,,Saturday
Mango Smoothie,Beverages,24,1,1,5.49,3.0,Saturday
Mango Smoothie,Beverages,26,1,1,5.49,,Saturday
Mango Smoothie,Beverages,27,1,2,10.98,4.0,Saturday
Mango Smoothie,Beverages,29,2,8,43.92,5.0,Saturday
Mango Smoothie,Beverages,30,1,2,10.98,3.0,Saturday
Mango Smoothie,Beverages,31,2,3,16.47,4.0,Saturday
Mango Smoothie,Beverages,32,2,3,15.65,5.0,Saturday
Mango Smoothie,Beverages,35,2,7,35.97,1.5,Saturday
Mango Smoothie,Beverages,37,1,3,16.47,5.0,Saturday
Mango Smoothie,Beverages,39,1,2,10.98,5.0,Saturday
Mango Smoothie,Beverages,40,1,2,10.98,4.0,Saturday
Mango Smoothie,Beverages,48,2,8,43.92,4.0,Saturday
Mango Smoothie,Beverages,52,1,1,4.67,2.0,Saturday
Margherita Pizza,Pizza,1,1,3,33.12,4.0,Saturday
Margherita Pizza,Pizza,2,1,1,11.04,5.0,Saturday
Margherita Pizza,Pizza,4,2,3,37.02,2.0,Saturday
Margherita Pizza,Pizza,5,3,6,77.94,4.0,Saturday
Margherita Pizza,Pizza,6,2,4,51.96,3.5,Saturday
Margherita Pizza,Pizza,8,1,1,12.99,3.0,Saturday
Margherita Pizza,Pizza,10,2,2,24.03,4.5,Saturday
Margherita Pizza,Pizza,11,4,11,140.94,4.5,Saturday
Margherita Pizza,Pizza,12,1,5,64.95,5.0,Saturday
Margherita Pizza,Pizza,13,2,3,38.97,4.0,Saturday
Margherita Pizza,Pizza,14,2,2,25.98,4.0,Saturday
Margherita Pizza,Pizza,15,1,2,25.98,,Saturday
Margherita Pizza,Pizza,16,1,1,11.04,,Saturday
Margherita Pizza,Pizza,17,2,5,59.1,4.0,Saturday
Margherita Pizza,Pizza,21,2,7,90.93,4.0,Saturday
Margherita Pizza,Pizza,22,1,1,11.04,,Saturday
Margherita Pizza,Pizza,23,1,1,12.99,4.0,Saturday
Margherita Pizza,Pizza,24,2,2,25.98,5.0,Saturday
Margherita Pizza,Pizza,25,1,4,44.16,3.0,Saturday
Margherita Pizza,Pizza,26,4,12,146.13,4.5,Saturday
Margherita Pizza,Pizza,27,1,4,51.96,4.0,Saturday
Margherita Pizza,Pizza,32,2,5,64.95,3.5,Saturday
Margherita Pizza,Pizza,33,2,2,25.98,5.0,Saturday
Margherita Pizza,Pizza,34,2,2,25.98,3.0,Saturday
Margherita Pizza,Pizza,36,4,5,64.95,4.25,Saturday
Margherita Pizza,Pizza,37,1,3,38.97,,Saturday
Margherita Pizza,Pizza,38,1,3,38.97,4.0,Saturday
Margherita Pizza,Pizza,42,1,1,11.04,3.0,Saturday
Margherita Pizza,Pizza,43,2,3,37.02,3.5,Saturday
Margherita Pizza,Pizza,44,3,9,107.16,4.33,Saturday
Margherita Pizza,Pizza,45,1,1,12.99,,Saturday
Margherita Pizza,Pizza,46,1,1,12.99,5.0,Saturday
Margherita Pizza,Pizza,47,1,1,12.99,,Saturday
Margherita Pizza,Pizza,48,1,1,12.99,,Saturday
Margherita Pizza,Pizza,51,1,2,25.98,5.0,Saturday
Mushroom Soup,Soups,1,1,5,34.95,2.0,Sunday
Mushroom Soup,Soups,2,1,1,6.99,5.0,Sunday
